https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAT
1638316800000,2021-12-01 00:00:00,BAT/USD,1.4619,1.4675,1.4497,1.4653,1510.7390676304192,1031.01007823
1638313200000,2021-11-30 23:00:00,BAT/USD,1.4769,1.4823,1.4568,1.46,5328.872730909399,3649.91282939
1638309600000,2021-11-30 22:00:00,BAT/USD,1.4823,1.4867,1.4731,1.4731,3158.43578607167,2144.0742557
1638306000000,2021-11-30 21:00:00,BAT/USD,1.4766,1.4807,1.4675,1.4777,187.857965128379,127.12862227
1638302400000,2021-11-30 20:00:00,BAT/USD,1.473,1.4732,1.4646,1.4661,21796.26917432911,14866.83662392
1638298800000,2021-11-30 19:00:00,BAT/USD,1.4761,1.4761,1.466,1.4693,7863.488286071517,5351.8602641200005
1638295200000,2021-11-30 18:00:00,BAT/USD,1.4771,1.4853,1.4759,1.4775,4237.6628184189,2868.13050316
1638291600000,2021-11-30 17:00:00,BAT/USD,1.4484,1.4746,1.4465,1.4746,2768.914686356418,1877.73951333
1638288000000,2021-11-30 16:00:00,BAT/USD,1.4821,1.4899,1.4528,1.4537,17782.09817239363,12232.30251936
1638284400000,2021-11-30 15:00:00,BAT/USD,1.5133,1.5194,1.4881,1.4881,17848.378976311506,11994.07229105
1638280800000,2021-11-30 14:00:00,BAT/USD,1.5277,1.5277,1.5092,1.5162,1592.204305684734,1050.12815307
1638277200000,2021-11-30 13:00:00,BAT/USD,1.5194,1.5233,1.506,1.5233,9395.88667359199,6168.11309236
1638273600000,2021-11-30 12:00:00,BAT/USD,1.5305,1.5404,1.5227,1.5227,15075.99351590355,9900.8297865
1638270000000,2021-11-30 11:00:00,BAT/USD,1.4992,1.5233,1.4992,1.5233,162.04947993326002,106.38054220000001
1638266400000,2021-11-30 10:00:00,BAT/USD,1.5009,1.5053,1.497,1.5053,5258.452528660406,3493.2920538500002
1638262800000,2021-11-30 09:00:00,BAT/USD,1.4974,1.5034,1.4871,1.5034,1844.4672737205342,1226.86395751
1638259200000,2021-11-30 08:00:00,BAT/USD,1.49,1.5038,1.4683,1.5037,25667.787877787727,17069.75319398
1638255600000,2021-11-30 07:00:00,BAT/USD,1.4976,1.498,1.478,1.4825,3808.2915248472,2568.83070816
1638252000000,2021-11-30 06:00:00,BAT/USD,1.4878,1.4993,1.4704,1.4993,13722.086462265226,9152.32872825
1638248400000,2021-11-30 05:00:00,BAT/USD,1.5196,1.521,1.4871,1.4947,18834.45414684056,12600.82568197
1638244800000,2021-11-30 04:00:00,BAT/USD,1.5146,1.5218,1.501,1.5093,12019.175290880785,7963.41038288
1638241200000,2021-11-30 03:00:00,BAT/USD,1.5304,1.5304,1.4942,1.5115,25790.488070852585,17062.84357979
1638237600000,2021-11-30 02:00:00,BAT/USD,1.5454,1.5555,1.5391,1.5391,7980.048388826114,5184.87972765
1638234000000,2021-11-30 01:00:00,BAT/USD,1.574,1.575,1.5363,1.5433,6206.894868930865,4021.83300002
1638230400000,2021-11-30 00:00:00,BAT/USD,1.614,1.614,1.565,1.5684,5387.213403707208,3434.84659762
1638226800000,2021-11-29 23:00:00,BAT/USD,1.6018,1.6315,1.6018,1.6211,5972.787398759857,3684.40404587
1638223200000,2021-11-29 22:00:00,BAT/USD,1.6035,1.6035,1.5886,1.5969,4444.232702032383,2783.03757407
1638219600000,2021-11-29 21:00:00,BAT/USD,1.5864,1.604,1.5864,1.604,960.2873699799601,598.68289899
1638216000000,2021-11-29 20:00:00,BAT/USD,1.5729,1.5891,1.5722,1.5891,728.976972236481,458.73574491
1638212400000,2021-11-29 19:00:00,BAT/USD,1.5958,1.5958,1.5702,1.573,11772.33204313166,7484.00002742
1638208800000,2021-11-29 18:00:00,BAT/USD,1.5919,1.6112,1.5916,1.5962,13499.706220434926,8457.40271923
1638205200000,2021-11-29 17:00:00,BAT/USD,1.5803,1.6083,1.5803,1.5934,14305.817432963624,8978.17085036
1638201600000,2021-11-29 16:00:00,BAT/USD,1.5574,1.5831,1.5574,1.5831,657.7598226615299,415.4884863
1638198000000,2021-11-29 15:00:00,BAT/USD,1.5504,1.5546,1.5385,1.5546,6319.409427004068,4064.97454458
1638194400000,2021-11-29 14:00:00,BAT/USD,1.5881,1.5914,1.5379,1.5503,117852.13421497283,76018.92163773
1638190800000,2021-11-29 13:00:00,BAT/USD,1.5906,1.6162,1.5805,1.5953,25020.121955565028,15683.6469351
1638187200000,2021-11-29 12:00:00,BAT/USD,1.6025,1.6028,1.5848,1.586,1946.52824989948,1227.31919918
1638183600000,2021-11-29 11:00:00,BAT/USD,1.5902,1.6161,1.5902,1.5993,2922.585283500534,1827.41529638
1638180000000,2021-11-29 10:00:00,BAT/USD,1.58,1.5968,1.5778,1.5851,12615.014056392078,7958.4972912700005
1638176400000,2021-11-29 09:00:00,BAT/USD,1.6022,1.61,1.5662,1.5662,10027.918352348894,6402.70613737
1638172800000,2021-11-29 08:00:00,BAT/USD,1.623,1.6282,1.6,1.6022,13106.386322933093,8180.24361686
1638169200000,2021-11-29 07:00:00,BAT/USD,1.6154,1.6364,1.6154,1.6235,10517.049808274085,6478.01035311
1638165600000,2021-11-29 06:00:00,BAT/USD,1.6213,1.6338,1.6153,1.6153,12994.059424966754,8044.36292018
1638162000000,2021-11-29 05:00:00,BAT/USD,1.6294,1.6294,1.6123,1.6156,23291.381382426163,14416.55198219
1638158400000,2021-11-29 04:00:00,BAT/USD,1.6589,1.6589,1.6281,1.6281,7399.329250446757,4544.76337476
1638154800000,2021-11-29 03:00:00,BAT/USD,1.6312,1.6726,1.6259,1.6584,25479.310785027003,15363.79087375
1638151200000,2021-11-29 02:00:00,BAT/USD,1.6498,1.655,1.6292,1.6305,6658.412301545551,4083.6628651
1638147600000,2021-11-29 01:00:00,BAT/USD,1.7048,1.7048,1.6436,1.6492,5925.210914383039,3592.7788711999997
1638144000000,2021-11-29 00:00:00,BAT/USD,1.6565,1.7068,1.6289,1.7068,82728.64008510788,48470.0258291
1638140400000,2021-11-28 23:00:00,BAT/USD,1.5772,1.6666,1.5772,1.6636,47671.805194725566,28655.80980688
1638136800000,2021-11-28 22:00:00,BAT/USD,1.6204,1.625,1.5743,1.5743,25752.699436894978,16358.19058432
1638133200000,2021-11-28 21:00:00,BAT/USD,1.5894,1.6183,1.5804,1.6183,11905.707983482034,7356.92268645
1638129600000,2021-11-28 20:00:00,BAT/USD,1.6021,1.6123,1.5685,1.579,44318.24902832149,28067.28880831
1638126000000,2021-11-28 19:00:00,BAT/USD,1.5729,1.6092,1.5729,1.597,63883.276870278336,40002.05189122
1638122400000,2021-11-28 18:00:00,BAT/USD,1.554,1.5695,1.5165,1.5692,46480.432196894886,29620.46405614
1638118800000,2021-11-28 17:00:00,BAT/USD,1.5894,1.5941,1.5154,1.5529,66437.541894808,42782.88485724
1638115200000,2021-11-28 16:00:00,BAT/USD,1.6271,1.6296,1.5646,1.5819,29033.767641611073,18353.73136204
1638111600000,2021-11-28 15:00:00,BAT/USD,1.6417,1.6542,1.6308,1.6311,3249.607794736416,1992.2799305600001
1638108000000,2021-11-28 14:00:00,BAT/USD,1.6683,1.6814,1.6222,1.6355,78623.56716125367,48073.10740523
1638104400000,2021-11-28 13:00:00,BAT/USD,1.6482,1.6592,1.6224,1.6587,52877.68806505506,31878.99443242
1638100800000,2021-11-28 12:00:00,BAT/USD,1.6954,1.7046,1.6503,1.6563,44083.41009009339,26615.5950553
1638097200000,2021-11-28 11:00:00,BAT/USD,1.7154,1.7507,1.6805,1.6916,39723.01103762419,23482.50829843
1638093600000,2021-11-28 10:00:00,BAT/USD,1.6658,1.7482,1.6573,1.7228,39828.79808824914,23118.64295812
1638090000000,2021-11-28 09:00:00,BAT/USD,1.6409,1.6669,1.6262,1.6669,3032.189576551454,1819.05907766
1638086400000,2021-11-28 08:00:00,BAT/USD,1.6491,1.6722,1.6224,1.64,13126.5241849748,8003.97816157
1638082800000,2021-11-28 07:00:00,BAT/USD,1.6784,1.7125,1.6509,1.6509,33767.5222439456,20454.00826455
1638079200000,2021-11-28 06:00:00,BAT/USD,1.6735,1.6975,1.6354,1.6739,51703.53920980689,30888.0693051
1638075600000,2021-11-28 05:00:00,BAT/USD,1.6106,1.6933,1.6102,1.6759,22521.699738551477,13438.57016442
1638072000000,2021-11-28 04:00:00,BAT/USD,1.6332,1.6538,1.5965,1.6117,54889.0507197878,34056.61768306
1638068400000,2021-11-28 03:00:00,BAT/USD,1.6843,1.6925,1.6254,1.6316,37473.5772950948,22967.38005338
1638064800000,2021-11-28 02:00:00,BAT/USD,1.7144,1.7211,1.6111,1.6833,71819.95816817555,42666.16655865
1638061200000,2021-11-28 01:00:00,BAT/USD,1.8371,1.8386,1.6874,1.7128,130420.82802158025,76144.8085133
1638057600000,2021-11-28 00:00:00,BAT/USD,1.7627,1.9333,1.7421,1.8413,343675.43529262743,186648.25682541
1638054000000,2021-11-27 23:00:00,BAT/USD,1.7689,1.7734,1.7155,1.7674,46445.75132508103,26279.13959776
1638050400000,2021-11-27 22:00:00,BAT/USD,1.757,1.8253,1.7391,1.769,193022.0858171782,109113.6720278
1638046800000,2021-11-27 21:00:00,BAT/USD,1.7337,1.7725,1.6686,1.7556,140865.673124107,80237.90904768
1638043200000,2021-11-27 20:00:00,BAT/USD,1.7408,1.7958,1.7186,1.7265,52378.67252964528,30338.06691552
1638039600000,2021-11-27 19:00:00,BAT/USD,1.7357,1.8081,1.7298,1.7473,150513.42070198953,86140.5715687
1638036000000,2021-11-27 18:00:00,BAT/USD,1.7408,1.7518,1.7132,1.7488,85454.69406116079,48864.76101393
1638032400000,2021-11-27 17:00:00,BAT/USD,1.6909,1.77,1.6566,1.7465,211725.46372484977,121228.43614363
1638028800000,2021-11-27 16:00:00,BAT/USD,1.5838,1.6909,1.5656,1.6909,112923.97058964628,66783.35240975
