https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1638316800000,2021-12-01 00:00:00,DAI/USD,1.0001,1.0002,0.99988,1.0001,303.716880461181,303.68651181
1638313200000,2021-11-30 23:00:00,DAI/USD,1.0003,1.0003,0.99981,0.99991,641.5503538411288,641.60809857
1638309600000,2021-11-30 22:00:00,DAI/USD,1.0003,1.0004,1.0001,1.0001,1043.74776584015,1043.6434015
1638306000000,2021-11-30 21:00:00,DAI/USD,1.0001,1.0005,1.0,1.0004,1506.3628239178838,1505.76051971
1638302400000,2021-11-30 20:00:00,DAI/USD,1.0004,1.0004,0.9999,1.0002,1530.908580922086,1530.60246043
1638298800000,2021-11-30 19:00:00,DAI/USD,1.0002,1.0005,0.9999,1.0001,3506.0241064639113,3505.67353911
1638295200000,2021-11-30 18:00:00,DAI/USD,1.0001,1.0004,0.9992,0.9998,16425.489977043562,16428.77573219
1638291600000,2021-11-30 17:00:00,DAI/USD,1.0001,1.0004,0.9999,1.0001,1330.2172299721549,1330.08422155
1638288000000,2021-11-30 16:00:00,DAI/USD,0.99999,1.0002,0.99971,1.0002,1189.173051742938,1188.93526469
1638284400000,2021-11-30 15:00:00,DAI/USD,1.0005,1.0005,0.99951,1.0002,3185.81808505977,3185.18104885
1638280800000,2021-11-30 14:00:00,DAI/USD,1.0,1.0005,0.99964,0.99964,779.7970277319264,780.07785576
1638277200000,2021-11-30 13:00:00,DAI/USD,1.0008,1.0009,0.99961,1.0002,1067.0993157077041,1066.88593852
1638273600000,2021-11-30 12:00:00,DAI/USD,1.001,1.001,1.0008,1.0008,499.6576132753679,499.25820670999997
1638270000000,2021-11-30 11:00:00,DAI/USD,1.0011,1.0013,1.0008,1.0008,1297.622319361056,1296.58505132
1638266400000,2021-11-30 10:00:00,DAI/USD,1.0004,1.0029,1.0003,1.0009,17063.861640847204,17048.51797467
1638262800000,2021-11-30 09:00:00,DAI/USD,1.0004,1.0006,1.0003,1.0006,408.053386380696,407.80870116
1638259200000,2021-11-30 08:00:00,DAI/USD,1.0005,1.0006,1.0002,1.0003,458.486570789821,458.34906607
1638255600000,2021-11-30 07:00:00,DAI/USD,1.0004,1.0008,1.0002,1.0003,608.2539522492369,608.07153079
1638252000000,2021-11-30 06:00:00,DAI/USD,1.0006,1.0008,1.0004,1.0007,298.41118482017697,298.20244311
1638248400000,2021-11-30 05:00:00,DAI/USD,1.0004,1.0009,1.0004,1.0008,243.71427627856798,243.51946071
