https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETP
1638316800000,2021-12-01 00:00:00,ETP/USD,0.25006,0.2507,0.25006,0.2507,6.713249120120999,26.77801803
1638313200000,2021-11-30 23:00:00,ETP/USD,0.25107,0.25107,0.25021,0.25021,31.529389095875498,126.01170655
1638309600000,2021-11-30 22:00:00,ETP/USD,0.25017,0.25117,0.25,0.25117,138.044742492817,549.6068101
1638306000000,2021-11-30 21:00:00,ETP/USD,0.25135,0.25147,0.25001,0.25008,401.7322876228128,1606.41509766
1638302400000,2021-11-30 20:00:00,ETP/USD,0.25378,0.25378,0.25001,0.25087,938.234508372957,3739.9231011
1638298800000,2021-11-30 19:00:00,ETP/USD,0.25482,0.25482,0.25373,0.2539,453.89695595006503,1787.69970835
1638295200000,2021-11-30 18:00:00,ETP/USD,0.25419,0.25458,0.25388,0.25458,201.6169403435502,791.95907119
1638291600000,2021-11-30 17:00:00,ETP/USD,0.2563,0.2563,0.25224,0.25437,1394.1218555351186,5480.68504751
1638288000000,2021-11-30 16:00:00,ETP/USD,0.257,0.25854,0.256,0.25621,1018.3652377648218,3974.72869039
1638284400000,2021-11-30 15:00:00,ETP/USD,0.2525,0.25855,0.2525,0.257,1921.00227291668,7474.71701524
1638280800000,2021-11-30 14:00:00,ETP/USD,0.25463,0.25463,0.25261,0.25261,131.5229301988801,520.65607141
1638277200000,2021-11-30 13:00:00,ETP/USD,0.25543,0.25543,0.2523,0.25482,1415.1932325559987,5553.69763973
1638273600000,2021-11-30 12:00:00,ETP/USD,0.24402,0.258,0.24402,0.25585,3161.827714672652,12358.13060259
1638270000000,2021-11-30 11:00:00,ETP/USD,0.2442,0.24427,0.24371,0.24411,125.2975427918061,513.28312151
1638266400000,2021-11-30 10:00:00,ETP/USD,0.24401,0.24435,0.24355,0.24425,101.370941516255,415.02944326
1638262800000,2021-11-30 09:00:00,ETP/USD,0.24439,0.2444,0.24401,0.24401,126.35953299279312,517.8457153100001
1638259200000,2021-11-30 08:00:00,ETP/USD,0.24409,0.24472,0.24394,0.24461,157.6029031063057,644.3027803699999
1638255600000,2021-11-30 07:00:00,ETP/USD,0.24498,0.24507,0.2424,0.24403,832.2060730700273,3410.26133291
1638252000000,2021-11-30 06:00:00,ETP/USD,0.24976,0.24988,0.244,0.24457,1198.7516603104036,4901.46649348
1638248400000,2021-11-30 05:00:00,ETP/USD,0.24911,0.25028,0.24909,0.24998,168.458421510559,673.88759705
1638244800000,2021-11-30 04:00:00,ETP/USD,0.24971,0.24971,0.24884,0.24884,41.8330987061252,168.11243653
1638241200000,2021-11-30 03:00:00,ETP/USD,0.24998,0.25018,0.24932,0.24971,52.5444133221721,210.42174251
1638237600000,2021-11-30 02:00:00,ETP/USD,0.25146,0.25146,0.24671,0.25059,2725.1407164301518,10874.89810619
1638234000000,2021-11-30 01:00:00,ETP/USD,0.25141,0.25146,0.25131,0.25131,34.56521040956849,137.54013135
1638230400000,2021-11-30 00:00:00,ETP/USD,0.25251,0.25251,0.25156,0.25156,82.83216998830281,329.27401013
1638226800000,2021-11-29 23:00:00,ETP/USD,0.25385,0.25385,0.25197,0.25259,145.73323749966536,576.9556890599999
1638223200000,2021-11-29 22:00:00,ETP/USD,0.25194,0.25499,0.24892,0.25499,2410.166831793786,9452.005301359999
1638219600000,2021-11-29 21:00:00,ETP/USD,0.25197,0.25419,0.25155,0.25179,705.9278307966654,2803.63728026
1638216000000,2021-11-29 20:00:00,ETP/USD,0.25148,0.25212,0.25103,0.25154,235.5214154979284,936.31794346
1638212400000,2021-11-29 19:00:00,ETP/USD,0.24883,0.255,0.24883,0.25162,4009.9909569540996,15936.69405037
1638208800000,2021-11-29 18:00:00,ETP/USD,0.24614,0.25,0.24614,0.24885,3819.834704478901,15349.94858139
1638205200000,2021-11-29 17:00:00,ETP/USD,0.24535,0.24764,0.2452,0.24599,359.83406213840607,1462.79955339
1638201600000,2021-11-29 16:00:00,ETP/USD,0.24258,0.24558,0.24236,0.24524,324.14192544061,1321.73350775
1638198000000,2021-11-29 15:00:00,ETP/USD,0.23618,0.24815,0.23584,0.24212,1515.3591939408511,6258.711357759999
1638194400000,2021-11-29 14:00:00,ETP/USD,0.24014,0.24067,0.2349,0.2361,640.665365259738,2713.53394858
1638190800000,2021-11-29 13:00:00,ETP/USD,0.24017,0.24017,0.24,0.24,19.151301408,79.7970892
1638187200000,2021-11-29 12:00:00,ETP/USD,0.24,0.24031,0.24,0.24013,58.5557195230986,243.85007922
1638183600000,2021-11-29 11:00:00,ETP/USD,0.24014,0.24014,0.23974,0.24,86.41837548480001,360.07656452000003
1638180000000,2021-11-29 10:00:00,ETP/USD,0.24063,0.24063,0.24,0.24,34.3023047712,142.92626988
1638176400000,2021-11-29 09:00:00,ETP/USD,0.24149,0.24191,0.2383,0.24064,2073.8271066215934,8617.96503749
1638172800000,2021-11-29 08:00:00,ETP/USD,0.2319,0.25,0.23171,0.24147,4784.015161168766,19812.04771263
1638169200000,2021-11-29 07:00:00,ETP/USD,0.23237,0.23237,0.23009,0.23171,959.1089223936326,4139.26426306
1638165600000,2021-11-29 06:00:00,ETP/USD,0.23256,0.23291,0.23236,0.23236,132.9075799419412,571.98992917
1638162000000,2021-11-29 05:00:00,ETP/USD,0.23348,0.23352,0.23271,0.23271,100.31659846523041,431.07987824
1638158400000,2021-11-29 04:00:00,ETP/USD,0.23196,0.23451,0.23191,0.23359,186.93967421150347,800.28971365
1638154800000,2021-11-29 03:00:00,ETP/USD,0.23339,0.23339,0.23195,0.23195,45.2405780028575,195.04452684999998
1638151200000,2021-11-29 02:00:00,ETP/USD,0.23402,0.23402,0.23339,0.23339,49.379897983573095,211.57675129
1638147600000,2021-11-29 01:00:00,ETP/USD,0.23423,0.23449,0.23406,0.23407,78.0596753988802,333.48859486000003
1638144000000,2021-11-29 00:00:00,ETP/USD,0.2368,0.2368,0.23256,0.23424,1715.2960543928064,7322.81443986
1638140400000,2021-11-28 23:00:00,ETP/USD,0.22686,0.23952,0.22686,0.23675,1360.89559711408,5748.23905856
1638136800000,2021-11-28 22:00:00,ETP/USD,0.22595,0.22698,0.22588,0.22692,872.3976524089309,3844.51635999
1638133200000,2021-11-28 21:00:00,ETP/USD,0.22423,0.22576,0.22199,0.22569,907.3488074959905,4020.3323474500003
1638129600000,2021-11-28 20:00:00,ETP/USD,0.2248,0.22866,0.22001,0.2241,7011.67903191044,31288.17060201
1638126000000,2021-11-28 19:00:00,ETP/USD,0.22482,0.22489,0.22469,0.22469,147.3900882081175,655.97084075
1638122400000,2021-11-28 18:00:00,ETP/USD,0.22478,0.22481,0.22469,0.22469,72.62761699534569,323.23475453
1638118800000,2021-11-28 17:00:00,ETP/USD,0.22464,0.22515,0.22464,0.22469,410.9673201761985,1829.04143565
1638115200000,2021-11-28 16:00:00,ETP/USD,0.22736,0.22736,0.224,0.22484,983.5675516216088,4374.52211182
1638111600000,2021-11-28 15:00:00,ETP/USD,0.22906,0.22907,0.22764,0.22764,157.7414350957284,692.94251931
1638108000000,2021-11-28 14:00:00,ETP/USD,0.22941,0.22991,0.22885,0.22924,181.2557301281584,790.68107716
1638104400000,2021-11-28 13:00:00,ETP/USD,0.22947,0.22952,0.22885,0.22946,106.5869786225244,464.51224014
1638100800000,2021-11-28 12:00:00,ETP/USD,0.23404,0.23409,0.22782,0.22919,2900.0344037450213,12653.40723306
1638097200000,2021-11-28 11:00:00,ETP/USD,0.22488,0.25855,0.22409,0.23246,66509.34619714937,286110.92745913
1638093600000,2021-11-28 10:00:00,ETP/USD,0.22604,0.22707,0.2251,0.2251,715.586113637929,3178.96985179
1638090000000,2021-11-28 09:00:00,ETP/USD,0.21553,0.22782,0.21532,0.22493,4767.081361229214,21193.62184337
1638086400000,2021-11-28 08:00:00,ETP/USD,0.21728,0.21813,0.21402,0.21557,2809.9483601501306,13034.96943058
1638082800000,2021-11-28 07:00:00,ETP/USD,0.21732,0.21774,0.21728,0.21728,220.4285069842912,1014.49055129
1638079200000,2021-11-28 06:00:00,ETP/USD,0.21781,0.21781,0.21717,0.21728,627.2533352382976,2886.84340592
1638075600000,2021-11-28 05:00:00,ETP/USD,0.22,0.22039,0.21634,0.2183,1271.870874758556,5826.25228932
1638072000000,2021-11-28 04:00:00,ETP/USD,0.22247,0.2226,0.22,0.22,719.1144140378,3268.70188199
1638068400000,2021-11-28 03:00:00,ETP/USD,0.22814,0.22814,0.22265,0.22265,429.41084862749744,1928.63619415
1638064800000,2021-11-28 02:00:00,ETP/USD,0.23219,0.23446,0.227,0.2283,5946.412162019004,26046.48340788
1638061200000,2021-11-28 01:00:00,ETP/USD,0.2329,0.2329,0.23199,0.23199,105.2677322553615,453.75978384999996
1638057600000,2021-11-28 00:00:00,ETP/USD,0.23272,0.23319,0.23272,0.23297,128.8633718970463,553.13290079
1638054000000,2021-11-27 23:00:00,ETP/USD,0.23226,0.23383,0.23159,0.23383,277.2539067988142,1185.70716674
1638050400000,2021-11-27 22:00:00,ETP/USD,0.23118,0.23352,0.23114,0.23115,695.250017784561,3007.78722814
1638046800000,2021-11-27 21:00:00,ETP/USD,0.23,0.23172,0.22958,0.23131,1144.5308889207809,4948.03894739
1638043200000,2021-11-27 20:00:00,ETP/USD,0.22433,0.23,0.22433,0.23,1457.1954086726,6335.63221162
1638039600000,2021-11-27 19:00:00,ETP/USD,0.22579,0.22579,0.22262,0.22439,782.678490321098,3488.0274982
