https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume NEO
1638316800000,2021-12-01 00:00:00,NEO/USD,37.454,37.667,37.342,37.637,18908.65744701914,502.39544722
1638313200000,2021-11-30 23:00:00,NEO/USD,37.829,37.829,37.512,37.523,4062.26814326288,108.26075055999999
1638309600000,2021-11-30 22:00:00,NEO/USD,37.78,37.871,37.663,37.808,3085.709693368,81.6152585
1638306000000,2021-11-30 21:00:00,NEO/USD,37.925,38.016,37.524,37.691,4983.4253735824905,132.21791339
1638302400000,2021-11-30 20:00:00,NEO/USD,38.138,38.138,37.796,37.918,5802.201458574999,153.0197125
1638298800000,2021-11-30 19:00:00,NEO/USD,38.317,38.322,38.002,38.104,7342.65681206288,192.70042022
1638295200000,2021-11-30 18:00:00,NEO/USD,38.04403801,38.378,37.901,38.355,22786.567022724445,594.09638959
1638291600000,2021-11-30 17:00:00,NEO/USD,37.718,38.122,37.378,37.978,7931.96895580874,208.85694233
1638288000000,2021-11-30 16:00:00,NEO/USD,38.171,38.26671865,37.634,37.766,45238.02431014092,1197.85056162
1638284400000,2021-11-30 15:00:00,NEO/USD,38.626,38.992,38.159,38.289,62319.05478915843,1627.59682387
1638280800000,2021-11-30 14:00:00,NEO/USD,38.616,38.799,38.497,38.669,17731.66383295089,458.54984181000003
1638277200000,2021-11-30 13:00:00,NEO/USD,38.285,38.703,38.155,38.671,15591.78673407415,403.19067865
1638273600000,2021-11-30 12:00:00,NEO/USD,38.11,38.514,38.072,38.286,35718.33118356684,932.93452394
1638270000000,2021-11-30 11:00:00,NEO/USD,37.78,38.115,37.681,38.096,13582.6877702272,356.5384232
1638266400000,2021-11-30 10:00:00,NEO/USD,37.716,37.808,37.495,37.778,4018.9805717009003,106.38415405
1638262800000,2021-11-30 09:00:00,NEO/USD,37.811,37.811,37.53,37.739,7534.566438486099,199.6493399
1638259200000,2021-11-30 08:00:00,NEO/USD,37.656,37.97717426,37.4,37.761,17167.94531689152,454.64752832
1638255600000,2021-11-30 07:00:00,NEO/USD,37.76,37.978,37.462,37.689,19575.30971833632,519.39053088
1638252000000,2021-11-30 06:00:00,NEO/USD,37.772,37.836,37.377,37.789,14844.192780611422,392.81782478
1638248400000,2021-11-30 05:00:00,NEO/USD,38.329,38.431,37.767,37.836,3763.94772885552,99.48059332
1638244800000,2021-11-30 04:00:00,NEO/USD,38.188,38.406,38.16,38.281,9780.660919316399,255.49648439999999
1638241200000,2021-11-30 03:00:00,NEO/USD,38.295,38.377,37.853,38.235,9540.94032626325,249.53420495
1638237600000,2021-11-30 02:00:00,NEO/USD,38.413,38.583,38.357,38.371,2726.62726658349,71.05958319
1638234000000,2021-11-30 01:00:00,NEO/USD,38.655,38.703,38.248,38.362,12202.5838979466,318.0903993
1638230400000,2021-11-30 00:00:00,NEO/USD,38.409,38.8,38.334,38.553,12661.9465268673,328.4296041
1638226800000,2021-11-29 23:00:00,NEO/USD,38.315,38.608,38.279,38.45,12191.785624030503,317.08155069000003
1638223200000,2021-11-29 22:00:00,NEO/USD,38.418,38.552,38.348,38.369,4878.94356142341,127.15847589
1638219600000,2021-11-29 21:00:00,NEO/USD,38.237,38.52,38.187,38.52,4547.624787252001,118.0587951
1638216000000,2021-11-29 20:00:00,NEO/USD,38.01,38.238,37.912,38.214,5919.05143570752,154.89222368
1638212400000,2021-11-29 19:00:00,NEO/USD,38.406,38.416,37.925,37.925,6305.502741943499,166.26243222
1638208800000,2021-11-29 18:00:00,NEO/USD,38.428,38.49,38.272,38.393,6606.55160486363,172.07698291
1638205200000,2021-11-29 17:00:00,NEO/USD,37.987,38.529,37.939,38.525,26730.339172703247,693.8439759299999
1638201600000,2021-11-29 16:00:00,NEO/USD,37.824,38.008,37.651,38.008,4402.15592231952,115.82182494
1638198000000,2021-11-29 15:00:00,NEO/USD,37.728,37.8,37.531,37.8,5805.297613331999,153.57930194
1638194400000,2021-11-29 14:00:00,NEO/USD,37.98,38.058,37.644,37.707,9673.65114984531,256.54788633
1638190800000,2021-11-29 13:00:00,NEO/USD,37.532,38.078,37.501,38.046,21015.813241185,552.3790475
1638187200000,2021-11-29 12:00:00,NEO/USD,37.397,37.571,37.376,37.544,7679.1056751385595,204.53616224
1638183600000,2021-11-29 11:00:00,NEO/USD,37.49,37.572,37.416,37.444,12869.66905435552,343.70444008
1638180000000,2021-11-29 10:00:00,NEO/USD,37.219,37.689,37.219,37.475,15349.89164930025,409.60351299
1638176400000,2021-11-29 09:00:00,NEO/USD,37.925,37.925,37.131,37.25,28974.1434130325,777.82935337
1638172800000,2021-11-29 08:00:00,NEO/USD,38.052,38.116,37.766,37.931,16417.66439190595,432.82972745
1638169200000,2021-11-29 07:00:00,NEO/USD,37.912,38.149,37.912,38.027,2053.25710678143,53.99471709
1638165600000,2021-11-29 06:00:00,NEO/USD,37.855,37.96,37.805,37.888,7223.0008714752,190.64085915
1638162000000,2021-11-29 05:00:00,NEO/USD,37.812,37.929,37.77,37.807,2059.35610394591,54.47023313
1638158400000,2021-11-29 04:00:00,NEO/USD,38.007,38.076,37.875,37.875,8759.48167445625,231.27344355
1638154800000,2021-11-29 03:00:00,NEO/USD,37.91,37.922,37.802,37.89,10692.82948185,282.207165
1638151200000,2021-11-29 02:00:00,NEO/USD,38.006,38.04,37.829,37.831,3249.6107176953806,85.89809198
1638147600000,2021-11-29 01:00:00,NEO/USD,38.004,38.236,37.92,38.06,5146.8490227088005,135.22987448
1638144000000,2021-11-29 00:00:00,NEO/USD,38.078,38.272,37.891,38.079,10717.34242245246,281.45020674
1638140400000,2021-11-28 23:00:00,NEO/USD,37.413,38.046,37.413,38.001,23681.307463682308,623.17590231
1638136800000,2021-11-28 22:00:00,NEO/USD,37.707,37.869,37.396,37.403,27320.03833146057,730.42371819
1638133200000,2021-11-28 21:00:00,NEO/USD,36.788,37.736,36.714,37.731,24055.582267962902,637.5548559
1638129600000,2021-11-28 20:00:00,NEO/USD,36.503,36.77,36.453,36.764,19680.81146932628,535.32835027
1638126000000,2021-11-28 19:00:00,NEO/USD,36.266,36.76003072,36.196,36.51,46959.450715968596,1286.20790786
1638122400000,2021-11-28 18:00:00,NEO/USD,35.96,36.253,35.195,36.253,84180.97253619354,2322.04155618
1638118800000,2021-11-28 17:00:00,NEO/USD,36.204,36.44,35.632,36.041,21836.36805243687,605.87575407
1638115200000,2021-11-28 16:00:00,NEO/USD,36.577,36.643,36.035,36.305,5453.1043822688,150.20257216
1638111600000,2021-11-28 15:00:00,NEO/USD,36.721,36.788,36.501,36.726,10755.4175696301,292.85567635
1638108000000,2021-11-28 14:00:00,NEO/USD,36.888,36.888,36.307,36.683,13617.886786877969,371.23154559
1638104400000,2021-11-28 13:00:00,NEO/USD,36.798,36.87,36.733,36.753,5197.082946749159,141.40567972
1638100800000,2021-11-28 12:00:00,NEO/USD,36.831,36.945,36.629,36.798,5468.04897597744,148.59636328
1638097200000,2021-11-28 11:00:00,NEO/USD,36.931,37.053,36.807,36.813,4971.853855277611,135.05701397
1638093600000,2021-11-28 10:00:00,NEO/USD,36.762,37.188,36.672,36.952,8380.67069724992,226.79883896
1638090000000,2021-11-28 09:00:00,NEO/USD,36.669,36.821,36.448,36.818,16958.44759461622,460.60208579
1638086400000,2021-11-28 08:00:00,NEO/USD,36.756,36.925,36.525,36.615,7699.9134351067505,210.29396245
1638082800000,2021-11-28 07:00:00,NEO/USD,36.823,37.014,36.8,36.866,20888.215044277058,566.59835741
1638079200000,2021-11-28 06:00:00,NEO/USD,36.685,36.979,36.562,36.963,1827.84006680346,49.45053342
1638075600000,2021-11-28 05:00:00,NEO/USD,36.24,36.757,36.24,36.721,15714.842375829707,427.95246251
1638072000000,2021-11-28 04:00:00,NEO/USD,36.558,36.611,36.157,36.216,12477.13803446544,344.52004734
1638068400000,2021-11-28 03:00:00,NEO/USD,36.78,36.837,36.296,36.428,7874.476745844239,216.16549758
1638064800000,2021-11-28 02:00:00,NEO/USD,36.953,37.148,36.101,36.771,39247.20344501019,1067.34120489
1638061200000,2021-11-28 01:00:00,NEO/USD,37.718,37.776,36.83,36.941,41664.186935923186,1127.85758198
1638057600000,2021-11-28 00:00:00,NEO/USD,37.55,37.788,37.213,37.788,8050.735520284678,213.05005610999999
1638054000000,2021-11-27 23:00:00,NEO/USD,37.689,37.715,37.144,37.542,19008.93635270658,506.33787099
1638050400000,2021-11-27 22:00:00,NEO/USD,37.721,37.771,37.49,37.746,5068.90169654346,134.28977101
1638046800000,2021-11-27 21:00:00,NEO/USD,37.188,37.617,37.097,37.551,37886.20838849898,1008.92674998
1638043200000,2021-11-27 20:00:00,NEO/USD,37.843,38.0,37.124,37.227,22056.1201824591,592.4764333
1638039600000,2021-11-27 19:00:00,NEO/USD,37.938,37.975,37.828,37.841,3655.5166528418004,96.6020098
1638036000000,2021-11-27 18:00:00,NEO/USD,37.966,37.979,37.728,37.855,4492.2486109971,118.66988802
1638032400000,2021-11-27 17:00:00,NEO/USD,38.276,38.291,37.83,37.956,41356.49228033208,1089.59037518
1638028800000,2021-11-27 16:00:00,NEO/USD,38.172,38.473,38.097,38.15,9223.852924282499,241.77858254999998
1638025200000,2021-11-27 15:00:00,NEO/USD,38.058,38.326,38.036,38.21,5139.5648960305,134.50837205
1638021600000,2021-11-27 14:00:00,NEO/USD,38.263,38.407,38.007,38.036,2780.78200550892,73.10921247
1638018000000,2021-11-27 13:00:00,NEO/USD,38.091,38.454,38.044,38.278,2920.4290091578,76.2952351
1638014400000,2021-11-27 12:00:00,NEO/USD,38.129,38.454,37.998,38.148,146026.688276733,3827.89892725
1638010800000,2021-11-27 11:00:00,NEO/USD,38.316,38.398,38.024,38.116,3028.41995899404,79.45272219
1638007200000,2021-11-27 10:00:00,NEO/USD,38.022,38.271,37.787,38.271,4891.63026960882,127.81558541999999
1638003600000,2021-11-27 09:00:00,NEO/USD,38.369,38.469,37.93,37.971,2748.8277101243693,72.39281847
1638000000000,2021-11-27 08:00:00,NEO/USD,37.833,38.493,37.833,38.358,11144.34187560558,290.53500901
1637996400000,2021-11-27 07:00:00,NEO/USD,37.783,37.8,37.569,37.739,3756.9252231018295,99.55020597
1637992800000,2021-11-27 06:00:00,NEO/USD,37.858,38.073,37.717,37.717,6246.5269005243,165.6156879
1637989200000,2021-11-27 05:00:00,NEO/USD,38.195,38.195,37.765,37.765,7775.8819241375995,205.90181184
1637985600000,2021-11-27 04:00:00,NEO/USD,37.952,38.236,37.844,38.121,12193.64905156476,319.86697756
1637982000000,2021-11-27 03:00:00,NEO/USD,38.13,38.328,37.931,37.971,7029.97231349619,185.14056289
1637978400000,2021-11-27 02:00:00,NEO/USD,37.903,38.193,37.866,38.16,5641.707073161599,147.84347676
1637974800000,2021-11-27 01:00:00,NEO/USD,37.709,37.853,37.431,37.803,2984.4894351816297,78.94848121
