https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1638316800000,2021-12-01 00:00:00,OMG/USD,8.6374,8.6878,8.5688,8.6856,151992.31587332473,17499.34556891
1638313200000,2021-11-30 23:00:00,OMG/USD,8.6656,8.6942,8.5811,8.6497,77330.89647409956,8940.29809983
1638309600000,2021-11-30 22:00:00,OMG/USD,8.6882,8.7099,8.6459,8.6734,2586.5928512702185,298.22132627
1638306000000,2021-11-30 21:00:00,OMG/USD,8.7519,8.7855,8.6402,8.6944,76691.06474192135,8820.74263226
1638302400000,2021-11-30 20:00:00,OMG/USD,8.761,8.7965,8.72,8.7533,12865.846777694675,1469.82815369
1638298800000,2021-11-30 19:00:00,OMG/USD,8.8156,8.8156,8.726,8.7531,25423.34647328554,2904.49628969
1638295200000,2021-11-30 18:00:00,OMG/USD,8.747,8.8463,8.7214,8.8085,86407.84659586535,9809.59829663
1638291600000,2021-11-30 17:00:00,OMG/USD,8.649,8.7708,8.5752,8.7444,299172.47493783006,34213.03633615
1638288000000,2021-11-30 16:00:00,OMG/USD,8.8079,8.8551,8.6335,8.657,571827.1309259336,66053.72888136
1638284400000,2021-11-30 15:00:00,OMG/USD,9.087,9.0979,8.7785,8.8469,359664.3411805865,40654.2790334
1638280800000,2021-11-30 14:00:00,OMG/USD,8.9037,9.0739,8.881,9.0739,522230.77139585686,57553.06664123
1638277200000,2021-11-30 13:00:00,OMG/USD,8.7949,8.8975,8.7292,8.8975,98364.78578830589,11055.32855165
1638273600000,2021-11-30 12:00:00,OMG/USD,8.9163,8.9358,8.7986,8.7986,36870.35470575324,4190.47970197
1638270000000,2021-11-30 11:00:00,OMG/USD,8.7608,8.9561,8.7608,8.9265,258120.83242207632,28916.24179937
1638266400000,2021-11-30 10:00:00,OMG/USD,8.7376,8.8015,8.7164,8.7643,64142.37548864973,7318.59652096
1638262800000,2021-11-30 09:00:00,OMG/USD,8.8225,8.8407,8.6797,8.76,262063.642891068,29915.9409693
1638259200000,2021-11-30 08:00:00,OMG/USD,8.9178,8.9415,8.7828,8.8241,249364.410091055,28259.47236444
1638255600000,2021-11-30 07:00:00,OMG/USD,8.916,9.101,8.8259,8.8919,680025.6266809267,76476.97642584
1638252000000,2021-11-30 06:00:00,OMG/USD,8.831,8.9783,8.678,8.9383,770431.6290846702,86194.42501199
1638248400000,2021-11-30 05:00:00,OMG/USD,9.016,9.0906,8.8257,8.8473,240123.13013934746,27140.83733335
1638244800000,2021-11-30 04:00:00,OMG/USD,9.1093,9.1772,8.877,9.0131,442711.5344773972,49118.67553643
1638241200000,2021-11-30 03:00:00,OMG/USD,9.1961,9.31,8.9628,9.102,409880.45562798786,45031.91118743
1638237600000,2021-11-30 02:00:00,OMG/USD,9.1935,9.2797,9.1533,9.2051,329716.64922978496,35818.91008569
1638234000000,2021-11-30 01:00:00,OMG/USD,8.9133,9.2533,8.8211,9.2047,742270.965691932,80640.42996425
1638230400000,2021-11-30 00:00:00,OMG/USD,8.7927,9.0514,8.7579,8.8903,925846.3232049606,104141.1789484
1638226800000,2021-11-29 23:00:00,OMG/USD,8.6089,8.9511,8.6089,8.7941,828291.1255090906,94187.13973108
1638223200000,2021-11-29 22:00:00,OMG/USD,8.536,8.6082,8.5236,8.6043,31902.92066974258,3707.78804432
1638219600000,2021-11-29 21:00:00,OMG/USD,8.4599,8.6238,8.4257,8.548,352315.1690888984,41216.09371653
1638216000000,2021-11-29 20:00:00,OMG/USD,8.364,8.473,8.3101,8.4522,197114.56660488105,23321.09588094
1638212400000,2021-11-29 19:00:00,OMG/USD,8.2847,8.3715,8.2005,8.3611,159263.53671488276,19048.15595016
1638208800000,2021-11-29 18:00:00,OMG/USD,8.2,8.361,8.1999,8.2788,1114350.5081082203,134602.90236607
1638205200000,2021-11-29 17:00:00,OMG/USD,8.128,8.2,8.079,8.2,566704.5306414419,69110.30861481
1638201600000,2021-11-29 16:00:00,OMG/USD,8.0929,8.1269,8.062,8.123,4285.7294721319695,527.60426839
1638198000000,2021-11-29 15:00:00,OMG/USD,8.0953,8.0969,8.037,8.0858,29933.202327142026,3701.94691028
1638194400000,2021-11-29 14:00:00,OMG/USD,8.1779,8.1967,8.077,8.0874,79924.78246394519,9882.63007443
1638190800000,2021-11-29 13:00:00,OMG/USD,8.0988,8.2,8.0869,8.1802,530400.1328626001,64839.50671898
1638187200000,2021-11-29 12:00:00,OMG/USD,8.0434,8.0805,8.019,8.0621,3603.8733021065314,447.01421492
1638183600000,2021-11-29 11:00:00,OMG/USD,8.1097,8.1197,8.046,8.046,5388.4993462086595,669.71157671
1638180000000,2021-11-29 10:00:00,OMG/USD,8.017,8.1208,8.017,8.0999,11722.484595417243,1447.23818756
1638176400000,2021-11-29 09:00:00,OMG/USD,8.1061,8.1246,7.9825,8.0157,159869.13707530228,19944.5010511
1638172800000,2021-11-29 08:00:00,OMG/USD,8.1269,8.1333,8.085,8.1152,51131.117008420864,6300.66012032
1638169200000,2021-11-29 07:00:00,OMG/USD,8.1332,8.144,8.1107,8.1107,53799.08055441215,6633.09955422
1638165600000,2021-11-29 06:00:00,OMG/USD,8.1449,8.147,8.108,8.123,20385.423135310375,2509.59290106
1638162000000,2021-11-29 05:00:00,OMG/USD,8.1972,8.2138,8.1009,8.1518,11473.061363612736,1407.42674791
1638158400000,2021-11-29 04:00:00,OMG/USD,8.1019,8.2356,8.1019,8.175,63159.2941242945,7725.90753814
1638154800000,2021-11-29 03:00:00,OMG/USD,8.0459,8.23,8.0389,8.101,202958.28192229828,25053.48499226
1638151200000,2021-11-29 02:00:00,OMG/USD,8.0977,8.1279,8.0351,8.0427,22747.616836690097,2828.35575574
1638147600000,2021-11-29 01:00:00,OMG/USD,8.1122,8.1412,8.0812,8.0942,13249.968489484188,1636.97073083
1638144000000,2021-11-29 00:00:00,OMG/USD,8.109,8.1574,8.07,8.116,66010.3443583962,8133.3593344500005
1638140400000,2021-11-28 23:00:00,OMG/USD,7.986,8.115,7.986,8.113,33091.32019941846,4078.80194742
1638136800000,2021-11-28 22:00:00,OMG/USD,8.066,8.1253,7.984,7.986,150290.51543161587,18819.24811315
1638133200000,2021-11-28 21:00:00,OMG/USD,7.8671,8.0835,7.8581,8.057,388136.75546272134,48173.8557109
1638129600000,2021-11-28 20:00:00,OMG/USD,7.758,7.8663,7.758,7.865,148567.8835337125,18889.7499725
1638126000000,2021-11-28 19:00:00,OMG/USD,7.673,7.7887,7.673,7.757,188077.7894975591,24246.20207523
1638122400000,2021-11-28 18:00:00,OMG/USD,7.6878,7.7041,7.4646,7.676,743912.0837318711,96914.02862583
1638118800000,2021-11-28 17:00:00,OMG/USD,7.7835,7.8393,7.6582,7.683,177953.71163294945,23162.00854262
1638115200000,2021-11-28 16:00:00,OMG/USD,7.842,7.8459,7.7515,7.7815,119068.21780466994,15301.44802476
1638111600000,2021-11-28 15:00:00,OMG/USD,7.8641,7.885,7.8427,7.848,98779.36583351664,12586.56547318
1638108000000,2021-11-28 14:00:00,OMG/USD,7.8716,7.8922,7.805,7.858,22444.412472261258,2856.24999647
1638104400000,2021-11-28 13:00:00,OMG/USD,7.8758,7.8824,7.858,7.859,16567.36222386735,2108.07510165
1638100800000,2021-11-28 12:00:00,OMG/USD,7.867,7.8741,7.8142,7.865,24046.8608706326,3057.45211324
1638097200000,2021-11-28 11:00:00,OMG/USD,7.9079,7.9174,7.8518,7.8659,18843.30954750145,2395.56942594
1638093600000,2021-11-28 10:00:00,OMG/USD,7.885,7.9374,7.8519,7.9068,281963.8940584817,35660.93666951
