https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTUM
1605049200,2020-11-10 23:00:00,QTUM/USD,2.009,2.009,2.009,2.009,0.0,0.0
1605045600,2020-11-10 22:00:00,QTUM/USD,2.006,2.009,2.006,2.009,58.8,29.27
1605042000,2020-11-10 21:00:00,QTUM/USD,1.996,2.01,1.996,2.006,56.34,28.06
1605038400,2020-11-10 20:00:00,QTUM/USD,1.996,1.996,1.996,1.996,0.0,0.0
1605034800,2020-11-10 19:00:00,QTUM/USD,1.996,1.996,1.996,1.996,0.0,0.0
1605031200,2020-11-10 18:00:00,QTUM/USD,1.979,2.0,1.979,1.996,463.2,232.0
1605027600,2020-11-10 17:00:00,QTUM/USD,1.979,1.979,1.979,1.979,0.0,0.0
1605024000,2020-11-10 16:00:00,QTUM/USD,1.961,1.981,1.961,1.979,601.02,303.35
1605020400,2020-11-10 15:00:00,QTUM/USD,1.976,1.976,1.961,1.961,97.93,49.93
1605016800,2020-11-10 14:00:00,QTUM/USD,1.976,1.976,1.976,1.976,0.0,0.0
1605013200,2020-11-10 13:00:00,QTUM/USD,1.976,1.976,1.976,1.976,0.0,0.0
1605009600,2020-11-10 12:00:00,QTUM/USD,1.976,1.976,1.976,1.976,0.0,0.0
1605006000,2020-11-10 11:00:00,QTUM/USD,1.976,1.976,1.976,1.976,0.0,0.0
1605002400,2020-11-10 10:00:00,QTUM/USD,1.976,1.976,1.976,1.976,0.0,0.0
1604998800,2020-11-10 09:00:00,QTUM/USD,1.976,1.976,1.976,1.976,0.0,0.0
1604995200,2020-11-10 08:00:00,QTUM/USD,1.976,1.976,1.976,1.976,0.0,0.0
1604991600,2020-11-10 07:00:00,QTUM/USD,1.976,1.976,1.976,1.976,9.88,5.0
1604988000,2020-11-10 06:00:00,QTUM/USD,2.007,2.007,1.976,1.976,104.17,52.55
1604984400,2020-11-10 05:00:00,QTUM/USD,2.007,2.007,2.007,2.007,0.0,0.0
1604980800,2020-11-10 04:00:00,QTUM/USD,2.007,2.007,2.007,2.007,0.0,0.0
1604977200,2020-11-10 03:00:00,QTUM/USD,2.007,2.007,2.007,2.007,0.0,0.0
1604973600,2020-11-10 02:00:00,QTUM/USD,2.009,2.009,2.007,2.007,200.69,100.0
1604970000,2020-11-10 01:00:00,QTUM/USD,1.985,2.012,1.985,2.009,1596.93,794.37
1604966400,2020-11-10 00:00:00,QTUM/USD,1.985,1.985,1.985,1.985,0.0,0.0
1604962800,2020-11-09 23:00:00,QTUM/USD,1.979,1.985,1.979,1.985,16.04,8.081
1604959200,2020-11-09 22:00:00,QTUM/USD,1.994,1.994,1.978,1.979,55.97,28.28
1604955600,2020-11-09 21:00:00,QTUM/USD,1.979,1.994,1.979,1.994,56.86,28.52
1604952000,2020-11-09 20:00:00,QTUM/USD,1.979,1.979,1.979,1.979,0.0,0.0
1604948400,2020-11-09 19:00:00,QTUM/USD,1.972,1.979,1.972,1.979,118.74,60.0
1604944800,2020-11-09 18:00:00,QTUM/USD,1.972,1.972,1.972,1.972,0.0,0.0
1604941200,2020-11-09 17:00:00,QTUM/USD,1.973,1.973,1.965,1.972,26.34,13.37
1604937600,2020-11-09 16:00:00,QTUM/USD,1.995,1.995,1.948,1.973,206.36,105.88
1604934000,2020-11-09 15:00:00,QTUM/USD,1.995,1.995,1.995,1.995,0.0,0.0
1604930400,2020-11-09 14:00:00,QTUM/USD,1.995,1.995,1.995,1.995,0.0,0.0
1604926800,2020-11-09 13:00:00,QTUM/USD,2.015,2.015,1.995,1.995,21.41,10.71
1604923200,2020-11-09 12:00:00,QTUM/USD,1.985,2.022,1.985,2.015,1138.65,564.07
1604919600,2020-11-09 11:00:00,QTUM/USD,1.985,1.985,1.985,1.985,0.0,0.0
1604916000,2020-11-09 10:00:00,QTUM/USD,1.985,1.985,1.985,1.985,0.0,0.0
1604912400,2020-11-09 09:00:00,QTUM/USD,1.985,1.985,1.985,1.985,0.0,0.0
1604908800,2020-11-09 08:00:00,QTUM/USD,1.985,1.985,1.985,1.985,0.0,0.0
1604905200,2020-11-09 07:00:00,QTUM/USD,1.987,2.003,1.985,1.985,239.41,119.54
1604901600,2020-11-09 06:00:00,QTUM/USD,1.99,1.999,1.987,1.987,151.39,76.15
1604898000,2020-11-09 05:00:00,QTUM/USD,2.033,2.033,1.99,1.99,9.95,5.0
1604894400,2020-11-09 04:00:00,QTUM/USD,2.033,2.033,2.033,2.033,0.0,0.0
1604890800,2020-11-09 03:00:00,QTUM/USD,2.033,2.033,2.033,2.033,0.0,0.0
1604887200,2020-11-09 02:00:00,QTUM/USD,2.033,2.033,2.033,2.033,0.0,0.0
1604883600,2020-11-09 01:00:00,QTUM/USD,2.044,2.044,2.033,2.033,3.501,1.722
1604880000,2020-11-09 00:00:00,QTUM/USD,2.025,2.044,2.025,2.044,89.41,43.87
1604876400,2020-11-08 23:00:00,QTUM/USD,2.025,2.025,2.025,2.025,0.0,0.0
1604872800,2020-11-08 22:00:00,QTUM/USD,2.007,2.025,2.007,2.025,437.25,215.98
1604869200,2020-11-08 21:00:00,QTUM/USD,2.032,2.032,2.007,2.007,1919.86,954.25
1604865600,2020-11-08 20:00:00,QTUM/USD,2.032,2.032,2.032,2.032,0.0,0.0
1604862000,2020-11-08 19:00:00,QTUM/USD,2.032,2.032,2.032,2.032,0.0,0.0
1604858400,2020-11-08 18:00:00,QTUM/USD,2.031,2.032,2.031,2.032,324.7,159.78
1604854800,2020-11-08 17:00:00,QTUM/USD,2.039,2.039,2.031,2.031,101.41,49.92
1604851200,2020-11-08 16:00:00,QTUM/USD,2.039,2.039,2.039,2.039,0.0,0.0
1604847600,2020-11-08 15:00:00,QTUM/USD,2.02,2.044,2.02,2.039,55.08,26.96
1604844000,2020-11-08 14:00:00,QTUM/USD,2.02,2.02,2.02,2.02,0.0,0.0
1604840400,2020-11-08 13:00:00,QTUM/USD,2.034,2.034,2.02,2.02,2.018,0.999
1604836800,2020-11-08 12:00:00,QTUM/USD,1.986,2.044,1.986,2.034,11.1,5.45
1604833200,2020-11-08 11:00:00,QTUM/USD,1.986,1.986,1.986,1.986,0.0,0.0
1604829600,2020-11-08 10:00:00,QTUM/USD,1.986,1.986,1.986,1.986,0.0,0.0
1604826000,2020-11-08 09:00:00,QTUM/USD,1.986,1.986,1.986,1.986,0.0,0.0
1604822400,2020-11-08 08:00:00,QTUM/USD,1.981,1.993,1.981,1.986,52.43,26.3
1604818800,2020-11-08 07:00:00,QTUM/USD,1.981,1.981,1.981,1.981,0.0,0.0
1604815200,2020-11-08 06:00:00,QTUM/USD,1.984,1.985,1.981,1.981,21.47,10.82
1604811600,2020-11-08 05:00:00,QTUM/USD,1.96,1.984,1.96,1.984,18.03,9.128
1604808000,2020-11-08 04:00:00,QTUM/USD,1.97,1.97,1.96,1.96,617.61,315.0
1604804400,2020-11-08 03:00:00,QTUM/USD,1.985,1.985,1.97,1.97,28.75,14.59
1604800800,2020-11-08 02:00:00,QTUM/USD,1.969,1.985,1.969,1.985,41.65,20.98
1604797200,2020-11-08 01:00:00,QTUM/USD,1.969,1.969,1.969,1.969,0.0,0.0
1604793600,2020-11-08 00:00:00,QTUM/USD,1.959,1.972,1.928,1.969,1423.48,737.16
1604790000,2020-11-07 23:00:00,QTUM/USD,1.972,1.975,1.959,1.959,476.54,242.93
1604786400,2020-11-07 22:00:00,QTUM/USD,1.961,2.006,1.944,1.972,630.4,321.93
1604782800,2020-11-07 21:00:00,QTUM/USD,1.969,1.977,1.961,1.961,55.75,28.36
1604779200,2020-11-07 20:00:00,QTUM/USD,1.968,2.028,1.939,1.969,442.88,224.48
1604775600,2020-11-07 19:00:00,QTUM/USD,1.964,1.972,1.964,1.968,404.3,205.03
1604772000,2020-11-07 18:00:00,QTUM/USD,2.016,2.016,1.934,1.964,754.75,384.45
1604768400,2020-11-07 17:00:00,QTUM/USD,2.032,2.033,2.016,2.016,1355.14,670.03
1604764800,2020-11-07 16:00:00,QTUM/USD,2.026,2.033,2.018,2.032,160.3,78.96
1604761200,2020-11-07 15:00:00,QTUM/USD,2.035,2.035,2.008,2.026,1516.62,754.14
1604757600,2020-11-07 14:00:00,QTUM/USD,2.098,2.1,2.027,2.035,2825.5,1385.23
1604754000,2020-11-07 13:00:00,QTUM/USD,2.13,2.135,2.098,2.098,879.57,414.99
1604750400,2020-11-07 12:00:00,QTUM/USD,2.121,2.135,2.121,2.13,170.48,79.92
1604746800,2020-11-07 11:00:00,QTUM/USD,2.108,2.136,2.108,2.121,6.23,2.93
1604743200,2020-11-07 10:00:00,QTUM/USD,2.106,2.111,2.106,2.108,51.76,24.52
1604739600,2020-11-07 09:00:00,QTUM/USD,2.106,2.106,2.106,2.106,0.0,0.0
1604736000,2020-11-07 08:00:00,QTUM/USD,2.107,2.107,2.091,2.106,1176.93,559.2
1604732400,2020-11-07 07:00:00,QTUM/USD,2.118,2.118,2.107,2.107,2133.29,1009.91
1604728800,2020-11-07 06:00:00,QTUM/USD,2.118,2.118,2.118,2.118,0.0,0.0
1604725200,2020-11-07 05:00:00,QTUM/USD,2.116,2.118,2.116,2.118,199.66,94.29
1604721600,2020-11-07 04:00:00,QTUM/USD,2.161,2.161,2.116,2.116,220.86,104.36
1604718000,2020-11-07 03:00:00,QTUM/USD,2.161,2.161,2.161,2.161,0.0,0.0
1604714400,2020-11-07 02:00:00,QTUM/USD,2.145,2.167,2.138,2.161,1128.07,524.16
1604710800,2020-11-07 01:00:00,QTUM/USD,2.05,2.145,2.05,2.145,1908.35,894.06
1604707200,2020-11-07 00:00:00,QTUM/USD,2.05,2.05,2.05,2.05,0.0,0.0
1604703600,2020-11-06 23:00:00,QTUM/USD,2.05,2.05,2.05,2.05,0.0,0.0
1604700000,2020-11-06 22:00:00,QTUM/USD,2.05,2.05,2.05,2.05,0.0,0.0
1604696400,2020-11-06 21:00:00,QTUM/USD,2.05,2.05,2.05,2.05,0.0,0.0
1604692800,2020-11-06 20:00:00,QTUM/USD,2.05,2.05,2.05,2.05,0.0,0.0
1604689200,2020-11-06 19:00:00,QTUM/USD,2.05,2.05,2.05,2.05,0.0,0.0
1604685600,2020-11-06 18:00:00,QTUM/USD,2.05,2.05,2.05,2.05,0.0,0.0
1604682000,2020-11-06 17:00:00,QTUM/USD,2.05,2.05,2.05,2.05,0.0,0.0
1604678400,2020-11-06 16:00:00,QTUM/USD,2.043,2.05,2.043,2.05,1050.3,512.54
1604674800,2020-11-06 15:00:00,QTUM/USD,2.05,2.05,2.043,2.043,200.65,98.22
1604671200,2020-11-06 14:00:00,QTUM/USD,2.054,2.063,2.05,2.05,268.23,130.73
1604667600,2020-11-06 13:00:00,QTUM/USD,2.009,2.058,2.009,2.054,10.81,5.259
1604664000,2020-11-06 12:00:00,QTUM/USD,2.009,2.009,2.009,2.009,0.0,0.0
1604660400,2020-11-06 11:00:00,QTUM/USD,2.009,2.009,2.009,2.009,0.0,0.0
1604656800,2020-11-06 10:00:00,QTUM/USD,1.981,2.015,1.981,2.009,89.97,44.97
1604653200,2020-11-06 09:00:00,QTUM/USD,1.975,1.981,1.975,1.981,199.53,100.74
1604649600,2020-11-06 08:00:00,QTUM/USD,1.975,1.993,1.975,1.975,4985.79,2501.69
1604646000,2020-11-06 07:00:00,QTUM/USD,1.963,1.983,1.963,1.975,203.22,102.51
1604642400,2020-11-06 06:00:00,QTUM/USD,1.963,1.963,1.963,1.963,0.0,0.0
1604638800,2020-11-06 05:00:00,QTUM/USD,1.963,1.963,1.963,1.963,0.0,0.0
1604635200,2020-11-06 04:00:00,QTUM/USD,1.956,1.963,1.956,1.963,254.99,129.87
1604631600,2020-11-06 03:00:00,QTUM/USD,1.956,1.956,1.956,1.956,0.0,0.0
1604628000,2020-11-06 02:00:00,QTUM/USD,1.929,1.98,1.929,1.956,21.27,10.8
1604624400,2020-11-06 01:00:00,QTUM/USD,1.954,1.954,1.929,1.929,5.203,2.697
1604620800,2020-11-06 00:00:00,QTUM/USD,1.927,1.955,1.927,1.954,51.27,26.23
1604617200,2020-11-05 23:00:00,QTUM/USD,1.93,1.93,1.927,1.927,38.17,19.81
1604613600,2020-11-05 22:00:00,QTUM/USD,1.93,1.93,1.93,1.93,0.0,0.0
1604610000,2020-11-05 21:00:00,QTUM/USD,1.93,1.93,1.93,1.93,0.0,0.0
1604606400,2020-11-05 20:00:00,QTUM/USD,1.922,1.93,1.922,1.93,245.33,127.11
1604602800,2020-11-05 19:00:00,QTUM/USD,1.901,1.926,1.901,1.922,28.78,14.95
1604599200,2020-11-05 18:00:00,QTUM/USD,1.901,1.901,1.901,1.901,0.0,0.0
1604595600,2020-11-05 17:00:00,QTUM/USD,1.919,1.919,1.901,1.901,3.802,2.0
1604592000,2020-11-05 16:00:00,QTUM/USD,1.893,1.923,1.893,1.919,1907.29,997.54
1604588400,2020-11-05 15:00:00,QTUM/USD,1.895,1.908,1.893,1.893,3068.35,1618.33
1604584800,2020-11-05 14:00:00,QTUM/USD,1.874,1.895,1.868,1.895,1258.96,668.61
1604581200,2020-11-05 13:00:00,QTUM/USD,1.826,1.874,1.826,1.874,508.99,272.99
1604577600,2020-11-05 12:00:00,QTUM/USD,1.826,1.826,1.826,1.826,0.0,0.0
1604574000,2020-11-05 11:00:00,QTUM/USD,1.826,1.826,1.826,1.826,0.0,0.0
1604570400,2020-11-05 10:00:00,QTUM/USD,1.826,1.826,1.826,1.826,0.0,0.0
1604566800,2020-11-05 09:00:00,QTUM/USD,1.823,1.826,1.823,1.826,559.36,306.38
1604563200,2020-11-05 08:00:00,QTUM/USD,1.851,1.851,1.823,1.823,110.73,60.74
1604559600,2020-11-05 07:00:00,QTUM/USD,1.847,1.851,1.847,1.851,46.28,25.0
1604556000,2020-11-05 06:00:00,QTUM/USD,1.854,1.854,1.847,1.847,202.55,109.69
1604552400,2020-11-05 05:00:00,QTUM/USD,1.837,1.854,1.837,1.854,200.37,108.06
1604548800,2020-11-05 04:00:00,QTUM/USD,1.837,1.837,1.837,1.837,0.0,0.0
1604545200,2020-11-05 03:00:00,QTUM/USD,1.837,1.837,1.837,1.837,0.0,0.0
1604541600,2020-11-05 02:00:00,QTUM/USD,1.837,1.837,1.837,1.837,0.0,0.0
1604538000,2020-11-05 01:00:00,QTUM/USD,1.837,1.837,1.837,1.837,0.0,0.0
1604534400,2020-11-05 00:00:00,QTUM/USD,1.837,1.837,1.837,1.837,0.0,0.0
1604530800,2020-11-04 23:00:00,QTUM/USD,1.837,1.837,1.837,1.837,0.0,0.0
1604527200,2020-11-04 22:00:00,QTUM/USD,1.82,1.839,1.82,1.837,1065.34,579.39
1604523600,2020-11-04 21:00:00,QTUM/USD,1.82,1.82,1.82,1.82,0.0,0.0
1604520000,2020-11-04 20:00:00,QTUM/USD,1.816,1.82,1.809,1.82,398.73,219.71
1604516400,2020-11-04 19:00:00,QTUM/USD,1.817,1.817,1.816,1.816,46.16,25.41
1604512800,2020-11-04 18:00:00,QTUM/USD,1.817,1.817,1.817,1.817,0.0,0.0
1604509200,2020-11-04 17:00:00,QTUM/USD,1.813,1.825,1.813,1.817,294.41,161.32
1604505600,2020-11-04 16:00:00,QTUM/USD,1.771,1.827,1.771,1.813,4585.74,2517.01
1604502000,2020-11-04 15:00:00,QTUM/USD,1.771,1.771,1.771,1.771,0.0,0.0
1604498400,2020-11-04 14:00:00,QTUM/USD,1.8,1.8,1.771,1.771,525.64,296.49
1604494800,2020-11-04 13:00:00,QTUM/USD,1.8,1.8,1.8,1.8,0.0,0.0
1604491200,2020-11-04 12:00:00,QTUM/USD,1.8,1.8,1.8,1.8,0.0,0.0
1604487600,2020-11-04 11:00:00,QTUM/USD,1.8,1.8,1.8,1.8,0.0,0.0
1604484000,2020-11-04 10:00:00,QTUM/USD,1.822,1.822,1.8,1.8,1809.0,1005.0
