https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1638316800000,2021-12-01 00:00:00,REP/USD,21.799,21.962,21.799,21.962,9.15278341252,0.41675545999999997
1638313200000,2021-11-30 23:00:00,REP/USD,22.098,22.153,21.781,21.91,1143.2017543856,52.17716816
1638309600000,2021-11-30 22:00:00,REP/USD,22.13,22.274,21.859,22.098,39.941558463179994,1.80747391
1638306000000,2021-11-30 21:00:00,REP/USD,22.169,22.186,21.93,22.13,41.8937377998,1.89307446
1638302400000,2021-11-30 20:00:00,REP/USD,22.068,22.112,21.824,21.852,44.85725131859999,2.05277555
1638298800000,2021-11-30 19:00:00,REP/USD,22.283,22.283,21.802,21.923,34.97105901333,1.59517671
1638295200000,2021-11-30 18:00:00,REP/USD,22.039,22.229,21.81,22.038,44.10408919404,2.00127458
1638291600000,2021-11-30 17:00:00,REP/USD,21.838,22.03,21.671,22.03,41.462862812100006,1.88210907
1638288000000,2021-11-30 16:00:00,REP/USD,22.193,22.206,21.721,21.873,42.837108824969995,1.9584468899999998
1638284400000,2021-11-30 15:00:00,REP/USD,22.268,22.649,22.158,22.221,41.815610903789995,1.88180599
1638280800000,2021-11-30 14:00:00,REP/USD,22.161,22.218,21.991,22.218,40.06218384966,1.80314087
1638277200000,2021-11-30 13:00:00,REP/USD,22.114,22.28,21.84,21.951,50.81970794418,2.31514318
1638273600000,2021-11-30 12:00:00,REP/USD,21.88,22.213,21.88,21.916,1143.1611536427201,52.16103092
1638270000000,2021-11-30 11:00:00,REP/USD,21.823,22.012,21.671,21.803,55.88640849594,2.56324398
1638266400000,2021-11-30 10:00:00,REP/USD,21.66,21.746,21.533,21.651,48.74562345996,2.25142596
1638262800000,2021-11-30 09:00:00,REP/USD,21.551,21.771,21.449,21.666,39.23823703248,1.81105128
1638259200000,2021-11-30 08:00:00,REP/USD,21.708,21.708,21.457,21.571,42.790952467450005,1.98372595
1638255600000,2021-11-30 07:00:00,REP/USD,21.671,21.671,21.403,21.642,39.46305793686,1.8234478299999999
1638252000000,2021-11-30 06:00:00,REP/USD,21.703,21.703,21.4,21.51,34.620695182800006,1.60951628
1638248400000,2021-11-30 05:00:00,REP/USD,21.971,22.009,21.689,21.861,51.29397358344,2.34636904
1638244800000,2021-11-30 04:00:00,REP/USD,22.001,22.001,21.794,21.971,38.44592996219,1.74984889
1638241200000,2021-11-30 03:00:00,REP/USD,21.945,22.185,21.785,21.785,38.548141842199996,1.76948092
1638237600000,2021-11-30 02:00:00,REP/USD,22.041,22.185,21.993,21.993,40.899101887469996,1.85964179
1638234000000,2021-11-30 01:00:00,REP/USD,22.327,22.327,21.808,21.869,51.43669409134,2.35203686
1638230400000,2021-11-30 00:00:00,REP/USD,22.327,22.327,22.059,22.059,35.96198144355,1.63026345
1638226800000,2021-11-29 23:00:00,REP/USD,22.276,22.28,22.049,22.129,47.30650675159001,2.1377607100000002
1638223200000,2021-11-29 22:00:00,REP/USD,22.226,22.276,22.049,22.276,40.97852484508,1.83958183
1638219600000,2021-11-29 21:00:00,REP/USD,22.17,22.226,22.049,22.226,46.54790579898,2.09429973
1638216000000,2021-11-29 20:00:00,REP/USD,22.131,22.17,21.924,22.17,46.482864185100006,2.09665603
1638212400000,2021-11-29 19:00:00,REP/USD,22.063,22.416,21.989,21.989,55.99616579106,2.54655354
1638208800000,2021-11-29 18:00:00,REP/USD,22.071,22.3,22.063,22.063,525.59080235947,23.82227269
1638205200000,2021-11-29 17:00:00,REP/USD,21.935,22.418,21.935,22.418,41.36637577974,1.84523043
1638201600000,2021-11-29 16:00:00,REP/USD,21.835,22.171,21.79,21.874,44.49609101874,2.03420001
1638198000000,2021-11-29 15:00:00,REP/USD,21.675,22.101,21.675,22.101,36.13422421779,1.63495879
1638194400000,2021-11-29 14:00:00,REP/USD,21.733,22.11,21.621,22.003,57.777278345549995,2.62588185
1638190800000,2021-11-29 13:00:00,REP/USD,21.689,22.062,21.671,21.749,38.87775401237,1.78756513
