https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1638316800000,2021-12-01 00:00:00,XLM/USD,0.33547,0.33862,0.33523,0.33862,9683.308793878667,28596.38767314
1638313200000,2021-11-30 23:00:00,XLM/USD,0.33936,0.33947,0.33511,0.33581,31095.540024704624,92598.61238410001
1638309600000,2021-11-30 22:00:00,XLM/USD,0.33886,0.34045,0.33886,0.33943,3611.35644833135,10639.47337693
1638306000000,2021-11-30 21:00:00,XLM/USD,0.34194,0.34281,0.33788,0.33873,5403.954357802431,15953.57469903
1638302400000,2021-11-30 20:00:00,XLM/USD,0.3431,0.34313,0.34022,0.34149,17071.49819707908,49991.20969012
1638298800000,2021-11-30 19:00:00,XLM/USD,0.34449,0.34449,0.3415,0.34232,34690.42475968561,101339.17024914
1638295200000,2021-11-30 18:00:00,XLM/USD,0.34342,0.34506,0.34166,0.34506,6798.693219250988,19702.93056063
1638291600000,2021-11-30 17:00:00,XLM/USD,0.33952,0.3437,0.33739,0.34306,94981.15396353295,276864.55419907003
1638288000000,2021-11-30 16:00:00,XLM/USD,0.34209,0.34571,0.33939,0.3405,103739.5379278599,304668.24648417
1638284400000,2021-11-30 15:00:00,XLM/USD,0.34499,0.35204,0.341,0.34292,165503.0887883792,482628.86034171
1638280800000,2021-11-30 14:00:00,XLM/USD,0.34278,0.34545,0.34235,0.34545,21935.243973164706,63497.59436435
1638277200000,2021-11-30 13:00:00,XLM/USD,0.33997,0.34236,0.3391,0.34174,60921.816339210956,178269.49241883
1638273600000,2021-11-30 12:00:00,XLM/USD,0.34027,0.34159,0.33991,0.34,46143.55694681821,135716.34396123
1638270000000,2021-11-30 11:00:00,XLM/USD,0.34067,0.34107,0.33754,0.34006,167893.67355445414,493717.79554918
1638266400000,2021-11-30 10:00:00,XLM/USD,0.33949,0.34152,0.33711,0.34061,98334.38303387613,288700.81041037
1638262800000,2021-11-30 09:00:00,XLM/USD,0.33797,0.34037,0.3345,0.33967,117435.99562027451,345735.55397967
1638259200000,2021-11-30 08:00:00,XLM/USD,0.33777,0.34091,0.3328,0.33822,100053.19855050003,295822.83292088
1638255600000,2021-11-30 07:00:00,XLM/USD,0.3399,0.33991,0.33463,0.3382,53135.81984678575,157113.60096625
1638252000000,2021-11-30 06:00:00,XLM/USD,0.33107,0.34323,0.32867,0.34039,151946.26173194055,446388.73566186003
1638248400000,2021-11-30 05:00:00,XLM/USD,0.33911,0.33954,0.33125,0.33125,40090.526145118,121028.00345696
1638244800000,2021-11-30 04:00:00,XLM/USD,0.33686,0.34361,0.33686,0.3391,124254.96159008033,366425.7198174
1638241200000,2021-11-30 03:00:00,XLM/USD,0.3344,0.33678,0.32915,0.3367,93725.25064330547,278364.27277489
1638237600000,2021-11-30 02:00:00,XLM/USD,0.33519,0.33548,0.33385,0.33401,7191.625074419102,21531.16695434
1638234000000,2021-11-30 01:00:00,XLM/USD,0.33086,0.33889,0.33063,0.33456,105686.05616171042,315895.67241066
1638230400000,2021-11-30 00:00:00,XLM/USD,0.32856,0.33281,0.32838,0.33092,80241.20955718713,242479.1779197
1638226800000,2021-11-29 23:00:00,XLM/USD,0.32789,0.32979,0.32718,0.32858,30521.551413574576,92889.25501727
1638223200000,2021-11-29 22:00:00,XLM/USD,0.3286,0.32942,0.32672,0.32792,82557.15705241406,251760.05444137
1638219600000,2021-11-29 21:00:00,XLM/USD,0.32829,0.32978,0.32811,0.3284,17731.57972981638,53993.84814195
1638216000000,2021-11-29 20:00:00,XLM/USD,0.32408,0.32883,0.32408,0.32816,42565.08778149073,129708.33673053
1638212400000,2021-11-29 19:00:00,XLM/USD,0.33109,0.33109,0.32377,0.32381,98344.4666540944,303710.4062694
1638208800000,2021-11-29 18:00:00,XLM/USD,0.33086,0.3325,0.33052,0.33111,67678.67696805554,204399.37473364
