https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XMR
1638316800000,2021-12-01 00:00:00,XMR/USD,238.19,239.85,237.56,239.85,4122.3080493854995,17.18702543
1638313200000,2021-11-30 23:00:00,XMR/USD,240.87,240.87,238.23,238.23,10908.8627307057,45.79130559
1638309600000,2021-11-30 22:00:00,XMR/USD,239.2,240.88,239.2,240.37,4730.017854159,19.6780707
1638306000000,2021-11-30 21:00:00,XMR/USD,243.09,243.98,238.69,239.23,41587.15426597829,173.83753821
1638302400000,2021-11-30 20:00:00,XMR/USD,245.5,247.67,242.66,242.99,111750.3349934642,459.89684758
1638298800000,2021-11-30 19:00:00,XMR/USD,249.3,249.68,244.53,245.0,172606.82787110002,704.51766478
1638295200000,2021-11-30 18:00:00,XMR/USD,245.66,250.99,244.33,250.24,148099.80551792,591.8310642499999
1638291600000,2021-11-30 17:00:00,XMR/USD,243.14,245.56,242.34,245.33,96656.6461212547,393.98624759
1638288000000,2021-11-30 16:00:00,XMR/USD,242.29,244.86,240.96,242.66,87841.2332533538,361.99304893
1638284400000,2021-11-30 15:00:00,XMR/USD,247.1,248.0,242.5,242.58,41192.0698908732,169.80818654
1638280800000,2021-11-30 14:00:00,XMR/USD,247.43,247.97,245.97,247.09,6068.551882004601,24.56008694
1638277200000,2021-11-30 13:00:00,XMR/USD,246.24,247.88,245.59,246.67,59216.306154739796,240.06286194
1638273600000,2021-11-30 12:00:00,XMR/USD,240.84,246.66,240.84,245.99,65404.902348189105,265.88439509
1638270000000,2021-11-30 11:00:00,XMR/USD,234.3,240.76,234.3,240.76,21489.557705797997,89.25717605
1638266400000,2021-11-30 10:00:00,XMR/USD,232.62,234.08,232.62,234.02,5098.5714940588,21.78690494
1638262800000,2021-11-30 09:00:00,XMR/USD,232.49,233.3,231.31,233.3,16518.069747932,70.80184204
1638259200000,2021-11-30 08:00:00,XMR/USD,231.21,232.96,230.0,231.91,38391.6157201031,165.54532241
1638255600000,2021-11-30 07:00:00,XMR/USD,230.97,231.33,230.09,231.08,69406.0181233012,300.35493389
1638252000000,2021-11-30 06:00:00,XMR/USD,230.06,231.44,228.66,231.08,38161.75887491761,165.14522622
1638248400000,2021-11-30 05:00:00,XMR/USD,233.62,233.62,230.16,230.16,10982.311468951199,47.71598657
1638244800000,2021-11-30 04:00:00,XMR/USD,232.03,234.02,232.03,233.09,27865.8743523589,119.54984921
1638241200000,2021-11-30 03:00:00,XMR/USD,233.21,233.21,231.13,231.98,18627.4184993764,80.29751918
1638237600000,2021-11-30 02:00:00,XMR/USD,233.91,234.83,233.02,233.02,6994.0732842704,30.01490552
1638234000000,2021-11-30 01:00:00,XMR/USD,235.06,235.44,233.12,233.63,14501.3723830272,62.06982144
1638230400000,2021-11-30 00:00:00,XMR/USD,236.55,237.46,234.25,234.58,9396.0188422594,40.05464593
1638226800000,2021-11-29 23:00:00,XMR/USD,236.27,237.05,235.2,235.96,16302.4652343728,69.08995268
1638223200000,2021-11-29 22:00:00,XMR/USD,236.41,236.96,235.86,236.3,15688.67733692,66.3930484
1638219600000,2021-11-29 21:00:00,XMR/USD,235.6,237.35,235.18,236.41,67856.9487660234,287.03078874
1638216000000,2021-11-29 20:00:00,XMR/USD,235.26,236.25,234.42,235.7,22925.879072998,97.26720014
1638212400000,2021-11-29 19:00:00,XMR/USD,237.9,237.9,234.77,234.77,426175.3988492872,1815.28900136
1638208800000,2021-11-29 18:00:00,XMR/USD,237.72,239.32,237.36,237.66,66930.41882641919,281.62256512
1638205200000,2021-11-29 17:00:00,XMR/USD,236.55,239.5,236.55,238.02,49659.083340768004,208.6340784
1638201600000,2021-11-29 16:00:00,XMR/USD,236.46,236.46,234.48,236.37,67419.5139693474,285.22872602
1638198000000,2021-11-29 15:00:00,XMR/USD,237.18,237.18,234.7,236.31,85237.6812815886,360.70281106
1638194400000,2021-11-29 14:00:00,XMR/USD,238.31,238.48,236.98,237.18,2458.5978615168,10.36595776
1638190800000,2021-11-29 13:00:00,XMR/USD,235.53,238.53,235.48,238.37,5842.448220876301,24.509997990000002
1638187200000,2021-11-29 12:00:00,XMR/USD,236.85,236.97,234.86,235.32,36761.0660207376,156.21734668
1638183600000,2021-11-29 11:00:00,XMR/USD,236.05,238.21,235.72,237.04,51870.0225159176,218.82392219
1638180000000,2021-11-29 10:00:00,XMR/USD,233.89,236.65,233.89,236.26,125482.49755775518,531.12036552
1638176400000,2021-11-29 09:00:00,XMR/USD,236.46,238.26,233.66,233.98,117643.341733953,502.79229735
1638172800000,2021-11-29 08:00:00,XMR/USD,239.97,240.13,237.13,237.13,15962.9750359157,67.31739989
1638169200000,2021-11-29 07:00:00,XMR/USD,238.96,239.95,238.78,239.95,34753.656760522004,144.83707756
1638165600000,2021-11-29 06:00:00,XMR/USD,236.0,239.3,235.53,239.02,156851.20029710923,656.22625846
1638162000000,2021-11-29 05:00:00,XMR/USD,237.11,237.11,235.32,235.67,9935.8099146493,42.15984179
1638158400000,2021-11-29 04:00:00,XMR/USD,237.5,238.46,236.79,236.79,40086.7163623026,169.29226894
